date,interval,volume_with_sign,interval_start
2025-08-21,09:30-10:00,8708.49,09:30
2025-08-21,10:00-10:30,1030.47,10:00
2025-08-21,10:30-11:00,7205.79,10:30
2025-08-21,11:00-11:30,15561.170000000002,11:00
2025-08-21,13:00-13:30,1042.3199999999997,13:00
2025-08-21,13:30-14:00,536.02,13:30
2025-08-21,14:00-14:30,-3700.7899999999995,14:00
2025-08-21,14:30-15:00,12411.75,14:30
2025-08-22,09:30-10:00,-5327.65,09:30
2025-08-22,10:00-10:30,9626.27,10:00
2025-08-22,10:30-11:00,7472.35,10:30
2025-08-22,11:00-11:30,160.1200000000003,11:00
2025-08-22,13:00-13:30,14459.5,13:00
2025-08-22,13:30-14:00,6487.8,13:30
2025-08-22,14:00-14:30,14265.1,14:00
2025-08-22,14:30-15:00,19407.46,14:30
2025-08-25,09:30-10:00,3392.8599999999997,09:30
2025-08-25,10:00-10:30,11327.56,10:00
2025-08-25,10:30-11:00,13188.460000000001,10:30
2025-08-25,11:00-11:30,-189.93999999999932,11:00
2025-08-25,13:00-13:30,-2741.3900000000003,13:00
2025-08-25,13:30-14:00,6212.36,13:30
2025-08-25,14:00-14:30,4832.91,14:00
2025-08-25,14:30-15:00,17679.96,14:30
2025-08-26,09:30-10:00,10427.0,09:30
2025-08-26,10:00-10:30,-3872.71,10:00
2025-08-26,10:30-11:00,3145.45,10:30
2025-08-26,11:00-11:30,5255.05,11:00
2025-08-26,13:00-13:30,4087.0899999999992,13:00
2025-08-26,13:30-14:00,4702.89,13:30
2025-08-26,14:00-14:30,4970.62,14:00
2025-08-26,14:30-15:00,-883.6300000000001,14:30
2025-08-27,09:30-10:00,-19181.67,09:30
2025-08-27,10:00-10:30,-1981.89,10:00
2025-08-27,10:30-11:00,0.0,10:30
2025-08-27,11:00-11:30,0.0,11:00
2025-08-27,13:00-13:30,0.0,13:00
2025-08-27,13:30-14:00,0.0,13:30
2025-08-27,14:00-14:30,0.0,14:00
2025-08-27,14:30-15:00,0.0,14:30
